id_solicitud,estado,municipio,cve_mun,anio,mes,edad,estatus_laboral,tipo_contrato,antiguedad_laboral_anios,ingreso_mensual_mxn,saldo_cuenta_mxn,Score_Final,Estatus_Aprobacion,lat,lon
1,Nuevo León,Juárez,031,2025,Octubre,25,Empleado,Sin contrato,0.0,1200.0,3385.0,3.38,Rechazado,25.60212283769063,-100.1228211083878
2,Nuevo León,Apodaca,006,2025,Diciembre,19,Empleado,Sin contrato,0.0,4800.0,14863.0,14.86,Rechazado,25.78899183060109,-100.18325821038252
3,Nuevo León,General Escobedo,021,2025,Octubre,23,Empleado,Sin contrato,0.0,4000.0,10873.0,10.87,Rechazado,25.827195,-100.37023350529101
4,Nuevo León,Guadalupe,026,2025,Noviembre,27,Empleado,Sin contrato,0.0,1800.0,5225.0,5.22,Rechazado,25.68932401234568,-100.16110456790123
5,Nuevo León,Guadalupe,026,2025,Noviembre,21,Empleado,Sin contrato,0.0,3000.0,1941.0,1.94,Rechazado,25.68932401234568,-100.16110456790123
6,Nuevo León,Guadalupe,026,2025,Noviembre,20,Empleado,Sin contrato,0.0,8000.0,9629.0,9.63,Rechazado,25.68932401234568,-100.16110456790123
7,Nuevo León,San Nicolás de los Garza,046,2025,Octubre,25,Empleado,Sin contrato,0.0,4600.0,10882.0,10.88,Rechazado,25.755252777777777,-100.2895861111111
8,Nuevo León,García,018,2025,Diciembre,24,Empleado,Sin contrato,0.0,36000.0,110678.0,110.68,Aprobado,25.8149235154321,-100.62665417901233
9,Nuevo León,General Escobedo,021,2025,Diciembre,22,Empleado,Sin contrato,0.0,223.0,115.0,0.12,Rechazado,25.827195,-100.37023350529101
10,Nuevo León,Guadalupe,026,2025,Octubre,24,Empleado,Sin contrato,0.0,67.0,137.0,0.14,Rechazado,25.68932401234568,-100.16110456790123
11,Nuevo León,Guadalupe,026,2025,Octubre,18,Empleado,Sin contrato,0.0,6000.0,15191.0,15.19,Rechazado,25.68932401234568,-100.16110456790123
12,Nuevo León,Santa Catarina,048,2025,Diciembre,22,Empleado,Sin contrato,0.0,3000.0,1766.0,1.77,Rechazado,25.598188524305556,-100.48739686921296
13,Nuevo León,Juárez,031,2025,Noviembre,21,Empleado,Sin contrato,0.0,2817.0,4800.0,4.8,Rechazado,25.60212283769063,-100.1228211083878
14,Nuevo León,San Nicolás de los Garza,046,2025,Octubre,21,Empleado,Sin contrato,0.0,1000.0,3187.0,3.19,Rechazado,25.755252777777777,-100.2895861111111
15,Nuevo León,General Escobedo,021,2025,Octubre,20,Empleado,Sin contrato,0.0,11200.0,28166.0,28.17,Rechazado,25.827195,-100.37023350529101
16,Nuevo León,General Escobedo,021,2025,Noviembre,21,Empleado,Sin contrato,0.0,6000.0,7278.0,7.28,Rechazado,25.827195,-100.37023350529101
17,Nuevo León,Guadalupe,026,2025,Diciembre,25,Empleado,Sin contrato,0.0,4000.0,12233.0,12.23,Rechazado,25.68932401234568,-100.16110456790123
18,Nuevo León,Guadalupe,026,2025,Noviembre,18,Empleado,Sin contrato,0.0,1500.0,2316.0,2.32,Rechazado,25.68932401234568,-100.16110456790123
19,Nuevo León,Juárez,031,2025,Diciembre,27,Empleado,Sin contrato,0.0,1000.0,3060.0,3.06,Rechazado,25.60212283769063,-100.1228211083878
20,Nuevo León,Juárez,031,2025,Noviembre,26,Empleado,Sin contrato,0.0,1000.0,1397.0,1.4,Rechazado,25.60212283769063,-100.1228211083878
21,Nuevo León,Juárez,031,2025,Octubre,23,Empleado,Sin contrato,0.0,10000.0,22710.0,22.71,Rechazado,25.60212283769063,-100.1228211083878
22,Nuevo León,Monterrey,039,2025,Noviembre,20,Empleado,Sin contrato,0.0,1300.0,2198.0,2.2,Rechazado,25.55914746031746,-100.26696880952382
23,Nuevo León,Apodaca,006,2025,Noviembre,26,Empleado,Sin contrato,0.0,5200.0,6887.0,6.89,Rechazado,25.78899183060109,-100.18325821038252
24,Nuevo León,General Escobedo,021,2025,Octubre,23,Empleado,Sin contrato,0.0,15000.0,47395.0,47.4,Rechazado,25.827195,-100.37023350529101
25,Nuevo León,General Escobedo,021,2025,Octubre,20,Empleado,Sin contrato,0.0,7500.0,7971.0,7.97,Rechazado,25.827195,-100.37023350529101
26,Nuevo León,Guadalupe,026,2025,Noviembre,25,Empleado,Sin contrato,0.0,1000.0,754.0,0.75,Rechazado,25.68932401234568,-100.16110456790123
27,Nuevo León,General Escobedo,021,2025,Diciembre,25,Empleado,Sin contrato,0.0,2600.0,3967.0,3.97,Rechazado,25.827195,-100.37023350529101
28,Nuevo León,Guadalupe,026,2025,Octubre,27,Empleado,Sin contrato,0.0,27000.0,71629.0,71.63,Aprobado,25.68932401234568,-100.16110456790123
29,Nuevo León,Monterrey,039,2025,Noviembre,27,Empleado,Sin contrato,0.0,9000.0,26301.0,26.3,Rechazado,25.55914746031746,-100.26696880952382
30,Nuevo León,Monterrey,039,2025,Noviembre,20,Empleado,Sin contrato,0.0,5000.0,17481.0,17.48,Rechazado,25.55914746031746,-100.26696880952382
31,Nuevo León,San Nicolás de los Garza,046,2025,Noviembre,23,Empleado,Sin contrato,0.0,16000.0,22225.0,22.22,Rechazado,25.755252777777777,-100.2895861111111
32,Nuevo León,General Escobedo,021,2025,Diciembre,21,Empleado,Sin contrato,0.0,2000.0,3448.0,3.45,Rechazado,25.827195,-100.37023350529101
33,Nuevo León,Guadalupe,026,2025,Diciembre,24,Empleado,Sin contrato,0.0,4182.0,3808.0,3.81,Rechazado,25.68932401234568,-100.16110456790123
34,Nuevo León,Guadalupe,026,2025,Diciembre,24,Empleado,Sin contrato,0.0,14000.0,31145.0,31.14,Rechazado,25.68932401234568,-100.16110456790123
35,Nuevo León,San Nicolás de los Garza,046,2025,Octubre,24,Empleado,Sin contrato,0.0,1500.0,5239.0,5.24,Rechazado,25.755252777777777,-100.2895861111111
36,Nuevo León,Apodaca,006,2025,Noviembre,23,Empleado,Sin contrato,0.0,153.0,398.0,0.4,Rechazado,25.78899183060109,-100.18325821038252
37,Nuevo León,Apodaca,006,2025,Noviembre,20,Empleado,Sin contrato,0.0,14000.0,31999.0,32.0,Rechazado,25.78899183060109,-100.18325821038252
38,Nuevo León,Apodaca,006,2025,Octubre,24,Empleado,Sin contrato,0.0,200.0,335.0,0.34,Rechazado,25.78899183060109,-100.18325821038252
39,Nuevo León,General Escobedo,021,2025,Octubre,22,Empleado,Sin contrato,0.0,7083.0,22991.0,22.99,Rechazado,25.827195,-100.37023350529101
40,Nuevo León,Juárez,031,2025,Octubre,22,Empleado,Sin contrato,0.0,12000.0,23889.0,23.89,Rechazado,25.60212283769063,-100.1228211083878
41,Nuevo León,Juárez,031,2025,Noviembre,25,Empleado,Sin contrato,0.0,105000.0,94826.0,94.83,Aprobado,25.60212283769063,-100.1228211083878
42,Nuevo León,Juárez,031,2025,Noviembre,18,Empleado,Sin contrato,0.0,83.0,132.0,0.13,Rechazado,25.60212283769063,-100.1228211083878
43,Nuevo León,Juárez,031,2025,Octubre,23,Empleado,Sin contrato,0.0,3000.0,2105.0,2.1,Rechazado,25.60212283769063,-100.1228211083878
44,Nuevo León,General Escobedo,021,2025,Diciembre,24,Empleado,Sin contrato,0.0,15000.0,16589.0,16.59,Rechazado,25.827195,-100.37023350529101
45,Nuevo León,Juárez,031,2025,Diciembre,27,Empleado,Sin contrato,0.0,5000.0,2765.0,2.76,Rechazado,25.60212283769063,-100.1228211083878
46,Nuevo León,Monterrey,039,2025,Octubre,18,Empleado,Sin contrato,0.0,4400.0,8183.0,8.18,Rechazado,25.55914746031746,-100.26696880952382
47,Nuevo León,Santa Catarina,048,2025,Diciembre,22,Empleado,Sin contrato,0.0,833.0,2002.0,2.0,Rechazado,25.598188524305556,-100.48739686921296
48,Nuevo León,General Escobedo,021,2025,Octubre,24,Empleado,Sin contrato,0.0,5200.0,7955.0,7.96,Rechazado,25.827195,-100.37023350529101
49,Nuevo León,General Escobedo,021,2025,Diciembre,25,Empleado,Sin contrato,0.0,3000.0,5283.0,5.28,Rechazado,25.827195,-100.37023350529101
50,Nuevo León,Guadalupe,026,2025,Diciembre,27,Empleado,Sin contrato,0.0,622.0,2101.0,2.1,Rechazado,25.68932401234568,-100.16110456790123
51,Nuevo León,Guadalupe,026,2025,Octubre,25,Empleado,Sin contrato,0.0,1667.0,4594.0,4.59,Rechazado,25.68932401234568,-100.16110456790123
52,Nuevo León,Monterrey,039,2025,Diciembre,25,Empleado,Sin contrato,0.0,15000.0,31839.0,31.84,Rechazado,25.55914746031746,-100.26696880952382
53,Nuevo León,San Nicolás de los Garza,046,2025,Diciembre,25,Empleado,Sin contrato,0.0,16000.0,21658.0,21.66,Rechazado,25.755252777777777,-100.2895861111111
54,Nuevo León,San Nicolás de los Garza,046,2025,Diciembre,23,Empleado,Sin contrato,0.0,10000.0,31910.0,31.91,Rechazado,25.755252777777777,-100.2895861111111
55,Nuevo León,Monterrey,039,2025,Diciembre,26,Empleado,Sin contrato,0.0,17000.0,20490.0,20.49,Rechazado,25.55914746031746,-100.26696880952382
56,Nuevo León,Monterrey,039,2025,Noviembre,26,Empleado,Sin contrato,0.0,60000.0,88562.0,88.56,Aprobado,25.55914746031746,-100.26696880952382
57,Nuevo León,García,018,2025,Octubre,18,Empleado,Sin contrato,0.0,13867.0,44752.0,44.75,Rechazado,25.8149235154321,-100.62665417901233
58,Nuevo León,Santa Catarina,048,2025,Diciembre,26,Empleado,Sin contrato,0.0,18000.0,37595.0,37.6,Rechazado,25.598188524305556,-100.48739686921296
59,Nuevo León,Santa Catarina,048,2025,Noviembre,22,Empleado,Sin contrato,0.0,2000.0,5454.0,5.45,Rechazado,25.598188524305556,-100.48739686921296
60,Nuevo León,García,018,2025,Noviembre,18,Empleado,Sin contrato,0.0,2000.0,4544.0,4.54,Rechazado,25.8149235154321,-100.62665417901233
61,Nuevo León,Linares,033,2025,Noviembre,26,Empleado,Sin contrato,0.0,3000.0,7381.0,7.38,Rechazado,24.850526184108524,-99.55899921834624
62,Nuevo León,Cadereyta Jiménez,009,2025,Noviembre,21,Empleado,Sin contrato,0.0,5958.0,8330.0,8.33,Rechazado,25.47843766025641,-99.96717816724941
