r_def,cd_a,cve_ent,con,upm,d_sem,n_pro_viv,v_sel,n_hog,h_mud,n_ent,per,n_ren,eda,n_inf,p1,p1a1,p1a2,p1a3,p1b,p1c,p1d,p1e,p2_1,p2_2,p2_3,p2_4,p2_9,p2a_dia,p2a_sem,p2a_mes,p2a_anio,p2b_dia,p2b_sem,p2b_mes,p2b_anio,p2b,p2c,p2d1,p2d2,p2d3,p2d4,p2d5,p2d6,p2d7,p2d8,p2d9,p2d10,p2d11,p2d99,p2e,p2f,p2g1,p2g2,p2h1,p2h2,p2h3,p2h4,p2h9,p2i,p2j,p2k_anio,p2k_mes,p2k,p3,p3a,p3b,p3c1,p3c2,p3c3,p3c4,p3c9,p3d,p3e,p3f1,p3f2,p3g1_1,p3g1_2,p3g2_1,p3g2_2,p3g3_1,p3g3_2,p3g4_1,p3g4_2,p3g9,p3g_tot,p3h,p3i,p3j1,p3j2,p3k1,p3k2,p3k3,p3k4,p3k5,p3k9,p3l,p4,p4_1,p4_2,p4_3,p4a,p4a_1,p4b,p4c,p4d1,p4d2,p4d3,p4e,p4f,p4g,p4h,p4i,p4i_1,p5,p5a,p5b_hlu,p5b_mlu,p5b_hma,p5b_mma,p5b_hmi,p5b_mmi,p5b_hju,p5b_mju,p5b_hvi,p5b_mvi,p5b_hsa,p5b_msa,p5b_hdo,p5b_mdo,p5b_thrs,p5b_tdia,p5c,p5d1,p5d_hlu,p5d_mlu,p5d_hma,p5d_mma,p5d_hmi,p5d_mmi,p5d_hju,p5d_mju,p5d_hvi,p5d_mvi,p5d_hsa,p5d_msa,p5d_hdo,p5d_mdo,p5d_thrs,p5d_tdia,p5e,p5f1,p5f2,p5f3,p5f4,p5f5,p5f6,p5f7,p5f8,p5f9,p5f10,p5f11,p5f12,p5f13,p5f14,p5f15,p5f99,ur,tipo,mes_cal,fac_tri,fac_men,cve_mun,cvegeo
00,03,19,40005,1904089,311,0079,04,1,0,1,425,01,64,03,1, , , , ,, , , , , , , ,, ,,,, ,,, , ,,,,,,,,,,,,, , , ,, , , , , , , ,,, ,4111,2,1, , ,3, , ,2, , ,, ,, ,, ,, ,, ,, , , , , , , , , , ,,2, , , ,4611,1,4,1, , , ,3,,4, , , ,3, ,09,00,09,00,09,00,09,00,09,00,09,00,00,00,054,6,1, ,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,14,,,1,1,12,513,1689,021,19021
00,03,19,40005,1904089,311,0079,04,1,0,1,425,02,60,03,1, , , , ,, , , , , , , ,, ,,,, ,,, , ,,,,,,,,,,,,, , , ,, , , , , , , ,,, ,5114,2,1, , ,3, , ,1,1,3,,1,003, ,, ,, ,, ,003, , , , , , , , , , ,,1, , , ,7221,1,4,1, , , ,4,06,4, , , ,3, ,09,00,09,00,09,00,09,00,09,00,09,00,09,00,063,7,1, ,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,14,,,1,1,12,513,1689,021,19021
00,03,19,40005,1904089,311,0079,04,1,0,1,425,03,43,03,1, , , , ,, , , , , , , ,, ,,,, ,,, , ,,,,,,,,,,,,, , , ,, , , , , , , ,,, ,9411,1, , , , , , , , , ,, ,, ,, ,, ,, ,,1,2, , , , , , ,5, ,02,1, , , ,7221,1,4,1, , , ,4,06,4, , , ,3, ,09,00,09,00,09,00,09,00,09,00,09,00,09,00,063,7,1, ,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,14,,,1,1,12,513,1689,021,19021
00,03,19,40005,1904089,311,0079,04,1,0,1,425,04,21,03,2, , ,3,2,, , , , , ,4, ,, ,,,, ,,, , ,,,,,,,,,,,,,3,3, ,, , , ,4, , , ,,, ,, , , , , , , , , , ,, ,, ,, ,, ,, ,, , , , , , , , , , ,, , , , ,, , , , , , , ,, , , , , , ,,,,,,,,,,,,,,,, , , ,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,1,1,12,513,1689,021,19021
00,03,19,40005,1904089,311,0079,04,1,0,1,425,05,13,03,2, , ,3,2,, , , , , ,4, ,, ,,,, ,,, , ,,,,,,,,,,,,,3,3, ,, , , ,4, , , ,,, ,, , , , , , , , , , ,, ,, ,, ,, ,, ,, , , , , , , , , , ,, , , , ,, , , , , , , ,, , , , , , ,,,,,,,,,,,,,,,, , , ,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,1,1,12,513,1689,021,19021
00,03,19,40017,1907471,307,0065,03,1,0,1,425,02,42,02,1, , , , ,, , , , , , , ,, ,,,, ,,, , ,,,,,,,,,,,,, , , ,, , , , , , , ,,, ,5212,2,1, , ,3, , ,2, , ,, ,, ,, ,, ,, ,, , , , , , , , , , ,,2, , , ,8121,2,4,1, , , ,3,,4, , , ,3, ,08,00,08,00,08,00,08,00,08,00,00,00,00,00,040,5,1, ,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,14,,,1,1,11,738,2304,031,19031
00,03,19,40013,1906518,303,0097,03,1,0,1,425,01,54,02,1, , , , ,, , , , , , , ,, ,,,, ,,, , ,,,,,,,,,,,,, , , ,, , , , , , , ,,, ,1621,1, , , , , , , , , ,, ,, ,, ,, ,, ,,1,1,2, ,1,2, , , , ,11,1,1,5, ,9313,2,3, ,1,5,3, ,, , , , ,3, ,08,00,08,00,08,00,08,00,08,00,00,00,00,00,040,5,1, ,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,14,,,1,1,10,573,1780,026,19026
00,03,19,40013,1906518,303,0097,03,1,0,1,425,02,56,02,2, , ,3,2,, , , , , ,4, ,, ,,,, ,,, , ,,,,,,,,,,,,,4,3, ,,1, , , , ,2, ,2020,,3,, , , , , , , , , , ,, ,, ,, ,, ,, ,, , , , , , , , , , ,, , , , ,, , , , , , , ,, , , , , , ,,,,,,,,,,,,,,,, , , ,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,1,1,10,573,1780,026,19026
00,03,19,40013,1906518,303,0097,03,1,0,1,425,03,29,02,1, , , , ,, , , , , , , ,, ,,,, ,,, , ,,,,,,,,,,,,, , , ,, , , , , , , ,,, ,2411,1, , , , , , , , , ,, ,, ,, ,, ,, ,,1,1,2, ,1,2, , , , ,99,1, , ,2,6211,2,4,1, , , ,1,, ,1,3,3,3, ,08,00,08,00,08,00,08,00,08,00,00,00,00,00,040,5,1, ,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,14,,,1,1,10,573,1780,026,19026
00,03,19,40017,1907471,307,0065,03,1,0,1,425,01,42,02,1, , , , ,, , , , , , , ,, ,,,, ,,, , ,,,,,,,,,,,,, , , ,, , , , , , , ,,, ,7212,1, , , , , , , , , ,, ,, ,, ,, ,, ,,1,2, , , , , , ,5, ,04,1, , ,2,3320,1,4,2, , ,3, ,, ,1,3,3,3, ,08,00,08,00,08,00,08,00,08,00,06,00,00,00,046,6,1, ,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,14,,,1,1,11,738,2304,031,19031
