id_hogar,id_persona,año,ingreso_hogar_trimestral_mxn,saldo_cuenta_mxn,gastos_mensuales_mxn,deuda_actual_mxn,tipo_cuenta_bancaria,banco_principal,gasto_alimentacion_mxn,gasto_transporte_mxn,gasto_salud_mxn,gasto_educacion_mxn,gasto_entretenimiento_mxn,gasto_vivienda_mxn,tiene_seguro_medico,tiene_afore,ahorro_informal_mxn,tiene_credito_previo,tipo_credito,morosidad_historica,num_productos_financieros
92488,1,2023,143100,79800,18400,47100,Ninguna,Banorte,1900,2400,600,2900,2100,3500,No,Sí,21300,Sí,Ninguno,No,3
20043,1,2024,10400,6800,4100,1700,Ninguna,Ninguno,3400,1200,900,900,1800,3300,No,No,4000,No,Ninguno,Sí,0
57194,1,2025,24200,9500,11100,14400,Ambas,Ninguno,1900,1700,500,4000,1600,5600,No,Sí,8000,Sí,Ninguno,No,1
55340,1,2026,37300,13200,7500,11800,Ninguna,Ninguno,2900,2000,500,1300,2400,2000,Sí,No,8200,No,Ninguno,No,2
23833,2,2023,91900,33400,8000,39400,Débito,BBVA,3200,1400,800,2300,800,8400,No,No,2100,No,Ninguno,No,1
37017,2,2024,14700,11500,5600,3700,Ninguna,Banamex,3200,1000,500,1200,1600,5000,Sí,Sí,2100,No,Ninguno,No,1
32048,2,2025,38000,45000,18400,9600,Ambas,Banorte,2000,2300,600,3300,600,4200,Sí,Sí,10700,Sí,Tarjeta,No,3
52309,2,2026,159700,32600,18600,18200,Ninguna,Santander,3000,1000,500,2000,2500,2000,No,Sí,9600,No,Ninguno,Sí,2
11805,3,2023,141800,58600,31800,64700,Débito,HSBC,2400,2500,700,800,1700,2800,Sí,Sí,13400,No,Ninguno,Sí,1
41135,3,2024,113300,32800,30400,42900,Crédito,Banorte,3000,1800,400,1600,2300,2400,Sí,Sí,25100,Sí,Tarjeta,No,2
12249,3,2025,107300,49800,11700,105500,Ambas,BBVA,2400,2700,2000,2100,700,4600,Sí,Sí,29100,Sí,Tarjeta,No,3
68861,3,2026,254800,194700,34800,70900,Ambas,Banorte,2800,2100,700,1100,1200,3100,No,No,6400,Sí,Personal,No,1
83510,4,2023,63500,33700,12800,9500,Débito,BBVA,3600,3000,900,2500,2200,2200,Sí,Sí,2000,No,Ninguno,No,1
22396,4,2024,126700,51800,20800,37800,Débito,Banorte,4000,600,1900,500,2900,2500,Sí,No,5200,Sí,Automotriz,No,5
48164,4,2025,80900,16500,9900,19300,Débito,Banamex,4900,1800,900,3800,500,6900,No,Sí,9100,No,Ninguno,No,2
78941,4,2026,3700,6200,6400,2800,Ninguna,Ninguno,1600,2600,500,1800,900,6200,Sí,No,3100,No,Ninguno,Sí,0
21433,5,2023,148400,50800,15400,65300,Débito,BBVA,3300,1400,600,2400,1500,5000,Sí,No,26600,No,Ninguno,No,1
40932,5,2024,63100,19500,8000,13600,Débito,Banorte,2100,1000,1400,1600,2100,5700,Sí,Sí,1100,Sí,Tarjeta,Sí,1
22042,5,2025,12300,3600,4900,6400,Débito,Ninguno,5600,700,300,2400,1600,2400,No,No,900,No,Ninguno,No,0
10548,5,2026,41200,22900,8500,18900,Ninguna,BBVA,3100,2100,900,1300,1200,1600,Sí,Sí,8900,Sí,Tarjeta,No,4
89871,6,2023,85700,45100,27900,28100,Débito,BBVA,2500,1800,2100,1000,700,4800,Sí,No,2800,No,Ninguno,No,2
26735,6,2024,15500,14300,3800,1100,Débito,Ninguno,4100,2200,1100,1100,1200,7600,Sí,No,3200,Sí,Personal,No,1
51146,6,2025,145300,35200,30000,29100,Ninguna,Inbursa,3000,2700,2200,1100,700,3700,Sí,Sí,4500,No,Ninguno,No,2
96623,6,2026,5600,5000,5800,3800,Ninguna,Ninguno,1800,600,400,1300,2200,6600,Sí,Sí,1300,Sí,Personal,No,0
71586,7,2023,189300,12100,52700,34500,Ambas,Ninguno,1900,900,500,1200,2300,3500,Sí,Sí,36100,Sí,Personal,No,2
74109,7,2024,73200,34900,37500,90500,Ambas,BBVA,3300,2100,1800,3600,800,2500,No,No,20200,No,Ninguno,No,1
34189,7,2025,59300,9000,10400,6100,Débito,Santander,1600,2600,600,1000,1800,3200,Sí,No,1500,Sí,Tarjeta,No,4
73136,7,2026,194200,65200,32200,42800,Ambas,Banorte,2300,1000,1200,1400,1800,3100,Sí,Sí,20600,No,Ninguno,No,2
44202,8,2023,67400,18100,17900,23600,Débito,BBVA,4400,1000,500,3800,1400,3200,Sí,Sí,10500,Sí,Tarjeta,Sí,1
95687,8,2024,32400,3500,4800,11200,Ambas,BBVA,2200,1600,1300,1500,1100,2200,No,No,4400,Sí,Tarjeta,No,2
59008,8,2025,37400,35700,7600,13500,Ambas,Ninguno,3200,3000,600,1400,1400,6600,No,No,3900,Sí,Tarjeta,No,1
95894,8,2026,44700,21800,15300,11900,Débito,Banorte,4400,1700,1100,2600,1600,4100,Sí,No,5400,No,Ninguno,No,4
76830,9,2023,10600,9500,6600,3500,Ninguna,Banamex,4900,2300,900,1700,1200,3000,Sí,No,3200,No,Ninguno,No,2
43572,9,2024,17500,2600,3100,3900,Débito,BBVA,2600,1000,1900,1900,1100,8500,Sí,No,1300,Sí,Tarjeta,No,3
93242,9,2025,74100,3000,9900,8400,Ninguna,Banorte,4000,2600,900,3800,1300,4300,No,Sí,6400,No,Ninguno,No,2
77892,9,2026,50000,50800,12300,32400,Débito,BBVA,3600,1100,500,1600,2500,5200,Sí,No,10800,No,Ninguno,Sí,1
51566,10,2023,12800,10000,5200,6100,Ambas,Ninguno,3300,1200,1700,2000,1900,4500,No,Sí,2100,No,Ninguno,No,0
79261,10,2024,131400,19000,12800,52200,Débito,BBVA,3400,1200,2000,1900,1900,2800,No,Sí,11400,Sí,Tarjeta,No,1
43426,10,2025,84400,32000,19200,5200,Débito,HSBC,1800,1300,900,2800,2400,4000,Sí,No,2900,Sí,Ninguno,No,2
59925,10,2026,120600,58500,18400,41400,Ambas,HSBC,2100,2100,1200,1800,1600,1800,Sí,Sí,11500,No,Ninguno,No,1
71013,11,2023,2800,8500,5600,6200,Ninguna,Ninguno,3200,1900,2000,1400,1800,6500,No,No,900,No,Ninguno,No,1
95758,11,2024,197400,44500,23100,53900,Ninguna,Santander,4400,2200,1200,500,2000,6800,Sí,Sí,10000,No,Ninguno,No,1
30785,11,2025,252300,61100,42400,24000,Ambas,Banorte,2100,1000,800,3200,1000,1900,Sí,Sí,47400,No,Ninguno,No,2
50549,11,2026,11400,2400,4600,1300,Ninguna,Ninguno,3100,2600,600,3200,1700,3900,No,No,1700,No,Ninguno,No,0
83841,12,2023,134300,36300,6800,42700,Ninguna,Inbursa,1300,2200,600,800,900,4500,Sí,No,10100,No,Ninguno,No,2
99807,12,2024,13000,12500,5900,2900,Ninguna,Ninguno,2200,1300,400,1100,1500,2800,Sí,No,2100,No,Ninguno,No,1
76292,12,2025,107400,46100,21600,38900,Débito,BanBajío,2200,2200,400,1600,1400,2400,No,Sí,2400,No,Ninguno,No,5
92016,12,2026,105400,14700,10700,12600,Ambas,Banorte,2300,900,1300,700,1500,4200,Sí,Sí,4200,Sí,Personal,No,2
42065,13,2023,200800,59400,31500,65100,Débito,HSBC,3300,600,600,1000,1100,5700,Sí,No,600,No,Ninguno,Sí,1
93995,13,2024,13200,8600,3700,4100,Débito,Ninguno,5300,2500,600,900,1000,2800,No,Sí,3000,No,Ninguno,No,1
18072,13,2025,37200,59900,6200,32500,Débito,Banorte,2300,1200,1100,900,500,7900,Sí,Sí,3600,Sí,Ninguno,No,2
10765,13,2026,36000,14600,6300,14600,Ambas,Ninguno,3800,1400,2400,2900,800,7700,Sí,Sí,5400,Sí,Tarjeta,No,2
51896,14,2023,231100,94600,10800,43400,Ambas,BBVA,1600,3200,1100,1700,1500,2700,Sí,No,35200,No,Ninguno,No,2
60868,14,2024,48600,16500,8900,7000,Ambas,Banamex,1600,2200,400,2900,1700,7800,No,Sí,16800,Sí,Tarjeta,No,1
57504,14,2025,88800,15300,11700,27800,Débito,Banorte,2600,600,800,2500,2400,8500,No,No,3200,Sí,Tarjeta,No,3
71596,14,2026,80400,60300,12600,37600,Ambas,Banorte,2900,2900,1000,2000,500,6200,Sí,Sí,9100,Sí,Tarjeta,No,1
23723,15,2023,24400,27100,8600,15200,Ambas,BanBajío,4400,900,1200,2800,1000,4100,No,No,12800,No,Ninguno,No,5
89950,15,2024,40200,15100,4100,8900,Débito,Banamex,3400,1900,500,1800,1500,6100,Sí,Sí,4100,No,Ninguno,No,3
71105,15,2025,100300,53300,14400,36500,Ambas,Ninguno,5100,1800,300,1900,1300,6000,Sí,No,2200,Sí,Automotriz,No,1
89158,15,2026,59000,29900,12200,20200,Ambas,Banamex,2400,1400,600,500,700,5100,No,No,9100,No,Ninguno,No,2
20022,16,2023,46300,10100,6600,15500,Ambas,Santander,1700,2200,1900,600,800,2300,No,No,400,Sí,Ninguno,Sí,4
41897,16,2024,10100,6700,5000,5900,Ninguna,Ninguno,2100,2500,1600,900,500,4500,No,No,2700,No,Ninguno,Sí,0
64504,16,2025,107800,33100,12000,26400,Crédito,Santander,3300,2300,1400,1500,1700,5600,No,No,11900,No,Ninguno,No,4
67636,16,2026,108800,48100,5600,20200,Ambas,BBVA,2700,900,1400,1300,1000,6000,Sí,Sí,19100,Sí,Personal,Sí,2
20979,17,2023,174100,28000,21000,59500,Ambas,HSBC,2600,2900,2100,1800,500,2600,Sí,No,15500,Sí,Automotriz,No,3
72816,17,2024,118000,36500,33400,46500,Débito,Ninguno,3200,1200,500,1600,1800,2700,Sí,No,18800,Sí,Ninguno,No,2
85311,17,2025,75500,42200,9800,9100,Débito,BanBajío,4500,1600,200,1200,2300,7300,Sí,No,9800,No,Ninguno,No,5
40879,17,2026,51200,6900,9000,24400,Débito,Santander,2800,1500,600,2300,1700,3100,Sí,Sí,5600,No,Ninguno,No,1
15421,18,2023,209700,50800,20600,60600,Ninguna,Santander,4200,2300,1400,1100,1100,4600,Sí,Sí,16200,No,Ninguno,Sí,1
94523,18,2024,66100,28100,15200,12000,Ambas,Ninguno,3800,1500,400,1400,800,2900,Sí,No,6900,Sí,Personal,No,2
29555,18,2025,106000,26200,13600,6800,Débito,Ninguno,3500,1900,500,1100,1500,4500,Sí,Sí,7200,Sí,Ninguno,No,1
98713,18,2026,105600,34400,11700,25400,Ninguna,Inbursa,3900,2200,600,300,2500,3300,Sí,Sí,4900,Sí,Tarjeta,Sí,2
92119,19,2023,57500,18000,11800,17600,Ambas,Ninguno,2400,3000,600,1900,1600,5900,Sí,Sí,8600,Sí,Ninguno,No,2
