id_registro,id_persona,año,trimestre,mes,estatus_laboral,sector_economico,tipo_empresa,tamanio_empresa,tipo_contrato,antiguedad_laboral_anios,ingresos_mensuales_mxn,ingresos_no_laborales_mxn,horas_trabajadas_semana,tipo_jornada,sindicalizado,prestaciones_sociales,seguro_imss,busca_empleo,recibe_capacitacion,causa_no_trabaja
1,1,2023,Q1,Enero,Empleado,Terciario,Privada,Grande (250+),Indefinido,4,26200,2400,48,Completa,No,No,No,No,No,
2,1,2024,Q1,Febrero,Desempleado,Primario,,,Sin contrato,0,0,1100,0,,No,No,No,Sí,No,Otra
3,1,2025,Q1,Marzo,Empleado,Secundario,Pública,Grande (250+),Indefinido,4,11700,4700,35,Nocturna,Sí,Sí,Sí,No,No,
4,1,2026,Q1,Marzo,Emprendedor,Terciario,Por cuenta propia,Micro (1-10),Sin contrato,6,9900,400,45,Variable,No,No,No,No,No,
5,2,2023,Q1,Marzo,Empleado,Secundario,Pública,Mediana (51-250),Indefinido,2,20700,3000,35,Completa,No,Sí,Sí,No,Sí,
6,2,2024,Q1,Enero,Inactivo,,,,Sin contrato,0,0,2200,0,,No,No,No,No,No,Problemas de salud
7,2,2025,Q1,Enero,Empleado,Terciario,Privada,Pequeña (11-50),Temporal,1,18300,1200,39,Completa,No,Sí,Sí,No,No,
8,2,2026,Q1,Marzo,Emprendedor,Primario,Por cuenta propia,Micro (1-10),Temporal,3,28900,1400,51,Parcial,No,No,No,No,Sí,
9,3,2023,Q1,Marzo,Emprendedor,Terciario,Por cuenta propia,Micro (1-10),Indefinido,0,39700,6100,59,Completa,No,No,No,No,No,
10,3,2024,Q1,Marzo,Empleado,Terciario,Privada,Mediana (51-250),Por obra,4,26400,4900,53,Variable,No,Sí,Sí,No,Sí,
11,3,2025,Q1,Febrero,Empleado,Secundario,Privada,Micro (1-10),Indefinido,1,37500,4400,47,Completa,No,Sí,No,No,No,
12,3,2026,Q1,Marzo,Empleado,Secundario,Privada,Mediana (51-250),Indefinido,2,54500,1100,52,Variable,No,No,No,No,No,
13,4,2023,Q1,Marzo,Emprendedor,Secundario,Por cuenta propia,Micro (1-10),Temporal,0,17000,1200,51,Parcial,No,Sí,No,No,Sí,
14,4,2024,Q1,Marzo,Empleado,Terciario,Privada,Pequeña (11-50),Indefinido,0,24000,5800,49,Variable,Sí,Sí,Sí,No,No,
15,4,2025,Q1,Febrero,Emprendedor,Terciario,Por cuenta propia,Micro (1-10),Temporal,6,14600,6000,42,Completa,No,No,No,No,No,
